date,name,description,link,location,tags
2023-04-11 11:00:00,"Snowflake | Demo",,https://www.eventbrite.it/e/biglietti-snowflake-demo-595608289427,Online,"snowflake,data,datawarehouse,tableau"
2023-04-12 19:00:00,"Devs Meet Ethics - Ti fidi di me?",,https://community.codemotion.com/codemotion-italy/meetups/devs-meet-ethics-ti-fidi-di-me,Online,"ai,ethic"
2023-04-12 09:00:00,"Accessibilità dei contenuti digitali: strategie e metodi",,https://www.eventbrite.it/e/biglietti-accessibilita-dei-contenuti-digitali-strategie-e-metodi-600676287947,Online,"accessibility,a11y"
2023-04-13 18:30:00,"Puoi fidarti della tua Intelligenza Artificiale? (IA)",,https://community.codemotion.com/jug-milano/meetups/puoi-fidarti-della-tua-intelligenza-artificiale-ia,Milano+Online,"ai,ethic"
2023-04-13 09:00:00,"jsday 2023",,https://community.codemotion.com/grusp/meetups/jsday-2023,Verona,"javascript,typescript"
2023-04-13 19:00:00,"NGRX Core principles & new features",,https://www.eventbrite.it/e/biglietti-online-angular-roma-meetup-with-marko-stanimirovic-601095973237,Online,"ngrx,angular"
2023-04-14 09:00:00,"jsday 2023",,https://community.codemotion.com/grusp/meetups/jsday-2023,Verona,"javascript,typescript"
2023-04-17 19:00:00,"Wannabe CTO: Da realizzare a ispirare",,https://community.codemotion.com/codemotion-italy/meetups/wannabe-cto-da-realizzare-a-ispirare,Online,"soft skills,personal growth"
2023-04-17 18:00:00,"Opening Future - Personal Branding su Instagram",,https://www.eventbrite.it/e/registrazione-opening-future-personal-branding-su-instagram-588285787627,Online,"instagram,personal branding,personal growth"
2023-04-18 18:45:00,"Blockchain oltre le Crypto: sviluppare su Hyperledger Fabric",,https://thecmmbay.com/eventi/blockchain-oltre-le-crypto-sviluppare-su-hyperledger-fabric-z217w96j6ok#registrati,Online,"blockchain,crypto,web3,hyperledger fabric"
2023-04-19 18:45:00,"Scrittura tecnica, SEO e ChatGPT",,https://thecmmbay.com/eventi/scrittura-tecnica-seo-e-chatgpt-wmxe2dzjnqk#registrati,Online,"chatgpt,seo,technical writing"
2023-04-19 19:00:00,"Devs Book Club - Game Design Tools",Libro del mese: Game Design Tools,https://community.codemotion.com/codemotion-italy/meetups/devs-book-club-game-design-tools,Online,"videogames,design"
2023-04-19 19:00:00,"CI/CD Pipelines + FastAPI and SQLAlchemy",,https://community.codemotion.com/python-milano/meetups/cicd-pipelines--fastapi-and-sqlalchemy,Milano,"python,ci/cd,fastapi,sqlalchemy"
2023-04-19 18:00:00,"Opening Future - Canva: come creare i tuoi template per Instagram",,https://www.eventbrite.it/e/registrazione-opening-future-canva-come-creare-i-tuoi-template-per-instagram-570540360577,Online,"canva,instagram,graphics"
2023-04-20 18:30:00,"Dal monolite ai microservizi, una storia vera",,https://community.codemotion.com/firenze.dev/meetups/dal-monolite-ai-microservizi-una-storia-vera,Firenze,"microservices,architecture"
2023-04-20 18:00:00,"Women Will | How to pitch - come fare un pitch deck perfetto",,https://www.eventbrite.it/e/registrazione-women-will-how-to-pitch-come-fare-un-pitch-deck-perfetto-503376110497,Online,"public speaking,self growth"
2023-04-20 14:30:00,"Evoluzione della sanità digitale: l’AI al centro dell’innovazione",,https://www.eventbrite.it/e/biglietti-evoluzione-della-sanita-digitale-lai-al-centro-dellinnovazione-591132492197,Online,"ai,digital health"
2023-04-26 18:00:00,"Opening Future - Deep work, concentrazione e lavoro intenso",,https://www.eventbrite.it/e/registrazione-opening-future-deep-work-concentrazione-e-lavoro-intenso-570459719377,Online,"soft skills,personal growth"
2023-04-27 11:00:00,"Come poter elaborare i dati E2E sfruttando tecnologie open source in real-time",,https://events.codemotion.com/webinars/come-poter-elaborare-i-dati-e2e-sfruttando-tecnologie-open-source-in-real-time,Online,"e2e,real time,kubernetes,clichouse,olap,redpanda"
2023-04-27 19:00:00,"Road To Dev - Affrontiamo i colloqui di lavoro",,https://community.codemotion.com/codemotion-italy/meetups/road-to-dev-affrontiamo-i-colloqui-di-lavoro,Online,"soft skills,personal growth"
2023-05-09 18:45:00,"Esplorando la Crittografia: come funziona, algoritmi e applicazioni",,https://thecmmbay.com/eventi/esplorando-la-crittografia-come-funziona-algoritmi-e-applicazioni-8zp7lxd703l#registrati,Online,"cryptography"
2023-05-16 18:45:00,"Sviluppiamo un clone del videogioco FlappyBird in Flutter e Dart",,https://thecmmbay.com/eventi/sviluppiamo-un-clone-del-videogioco-flappybird-in-flutter-e-dart-84gjnvl76xk#registrati,Online,"dart,flutter,videogames"
2023-05-18 09:00:00,"phpday 2023",,https://community.codemotion.com/grusp/meetups/phpday-2023,Verona+Online,"php,devops,backend,frontend"
2023-05-05 18:00:00,"Women Will - Come programmare il tuo cambiamento lavorativo",,https://www.eventbrite.it/e/biglietti-women-will-come-programmare-il-tuo-cambiamento-lavorativo-503378437457,Online,"personal growth,job"
2023-05-24 18:00:00,"Opening Future - Personal Branding su LinkedIn",,https://www.eventbrite.it/e/registrazione-opening-future-personal-branding-su-linkedin-589632405397,Online,"personal branding,personal growth"
2023-05-26 09:00:00,"BlazorConf 2023","La conferenza italiana su Blazor",https://blazorconf.it/,Milano+Online,"blazor,.net,c#,frontend,backend"
2023-05-30 18:45:00,"Sicurezza web applicativa: minacce, vulnerabilità e best practice",,https://thecmmbay.com/eventi/sicurezza-web-applicativa-minacce-vulnerabilita-e-best-practice-q3wezx37vk9#registrati,Online,"security"
